Year,user_id,tweet,features__name,features__id,features__screen_name,features__tweets,features__location,features__primary_geo,features__geo_type,state
2018,112328119,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Balanced Info,112328119,Balanced_Info,1,The Heartland,The Heartland,User location, Illinois
2018,198807974,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",BiggsWindy,198807974,Cable106,1,"Scotland, United Kingdom","Scotland, United Kingdom",User location,
2018,2271002220,"Small businesses have become leaders in the #greenmovement, but some eco-friendly small businesses have gone even f… https://t.co/GLqXUcauo6",Smart Hustle,2271002220,smarthustlemag,1,"New York, NY","New York, NY",User location, New York
2018,28752702,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Robin,28752702,2ontrack,1,"Tailem Bend, South Australia","Tailem Bend, South Australia",User location,
2018,127739300,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",ActllyIC=*DsntDsrvS*___inH🧠NoAnw=Smpl+Stp@,127739300,muserebel,1,"🎬IF u RE , can d anything☄️💨💫","🎬IF u RE , can d anything☄️💨💫",User location,
2018,248981475,@AndrewScheer People are giving up on fossil fuels...that's why these pipelines can't get  built. https://t.co/tNYfdTHCMB,D McLean,248981475,dmc_rrt,1,Tk'emlúps te Secwepmec,Tk'emlúps te Secwepmec,User location,
2018,379000170,"RT @Norm_Farrell: I'm reminded that health of many BC residents was compromised by smoke from last summer's wildfires. Yet, BC Government's…",Danny Boy,379000170,digitaldannyboy,1,Vancouver Isle,Vancouver Isle,User location,
2018,295971687,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Brandon Nickels,295971687,Brandon_Nickels,1,"Valley of the sun, AZ","Valley of the sun, AZ",User location,
2018,19806899,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",wanda wink🌹,19806899,wandawink,1, Pa, Pa,User location,
2018,419945858,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Ann McNallen,419945858,Estaline1,1,Richmond VA,Richmond VA,User location,
